index,year,Company,ProductGroup,NumCustomers,Spatial,NumPlants,SalesGrowth,TotalAsset,roa,FirmAge,PromoterOwn,Horizontal1,scores_pred,anomaly_score_pred
0,2016,Tata Motors Ltd.,5.0,54.0,32.0,6.0,0.0352830608003535,657053.7,-3.6,71.0,34.73,327.0,-0.1892249532780959,-1
1,2015,Tata Motors Ltd.,7.0,53.0,31.0,6.0,0.2012141232782596,624941.7,0.16,70.0,33.01,313.0,-0.18298905808297322,-1
2,2014,Tata Motors Ltd.,7.0,52.0,30.0,6.0,0.0441723160558955,546764.3,-8.78,69.0,34.33,291.0,-0.18407014278706874,-1
3,2013,Tata Motors Ltd.,7.0,45.0,30.0,6.0,-0.2319470667147587,541691.9,0.3,68.0,34.33,287.0,-0.1800514854421958,-1
4,2012,Tata Motors Ltd.,7.0,45.0,27.0,6.0,-0.1693736705709694,540260.0,0.4,67.0,34.72,263.0,-0.17672258803181368,-1
5,2011,Tata Motors Ltd.,7.0,34.0,26.0,6.0,0.1605578365478468,554327.9,2.25,66.0,35.04,225.0,-0.1650361119769002,-1
6,2010,Tata Motors Ltd.,14.0,28.0,21.0,6.0,0.33695439977129,550111.1,3.41,65.0,34.93,175.0,-0.1617509299287268,-1
7,2016,Mahindra & Mahindra Ltd.,5.0,28.0,22.0,9.0,0.0832262528417515,416293.4,10.06,71.0,26.77,152.0,-0.15400939691059207,-1
9,2015,Mahindra & Mahindra Ltd.,12.0,31.0,19.0,9.0,0.068157475834627,365376.3,9.18,70.0,27.11,140.0,-0.15352559256825754,-1
12,2014,Mahindra & Mahindra Ltd.,12.0,31.0,18.0,9.0,-0.0576913176150933,333078.3,9.29,69.0,25.74,125.0,-0.16312227174384658,-1
14,2013,Mahindra & Mahindra Ltd.,12.0,26.0,14.0,9.0,-0.0067369764342881,316412.7,12.65,68.0,25.24,114.0,-0.15934100464794837,-1
16,2012,Mahindra & Mahindra Ltd.,12.0,18.0,12.0,9.0,0.2638995719714989,277643.9,12.86,67.0,25.3,102.0,-0.1387303133987104,-1
17,2016,Maruti Suzuki India Ltd.,5.0,8.0,14.0,2.0,0.188884407815949,518794.0,15.86,35.0,56.21,99.0,-0.10225241732210671,-1
18,2012,Indian Oil Corpn. Ltd.,17.0,23.0,18.0,9.0,-0.0482690683929074,1346.8,3.94,57.0,57.35,98.0,-0.1219494893278496,-1
19,2015,Bosch Ltd.,7.0,44.0,19.0,8.0,-0.1957080412115001,131332.0,11.32,64.0,71.18,95.0,-0.13764133196901612,-1
20,2016,Bosch Ltd.,7.0,52.0,16.0,8.0,0.0783940844852884,142178.0,10.45,65.0,70.49,95.0,-0.11580767043246304,-1
21,2015,Maruti Suzuki India Ltd.,5.0,7.0,13.0,2.0,0.1830782258725403,425668.0,12.6,34.0,56.21,95.0,-0.08466851127291414,-1
23,2012,Maruti Suzuki India Ltd.,5.0,6.0,14.0,2.0,0.2452822998597645,339433.0,7.54,31.0,54.21,88.0,-0.07280638375680665,-1
