year,Company,ProductGroup,NumCustomers,Spatial,NumPlants,SalesGrowth,TotalAsset,roa,FirmAge,PromoterOwn,Horizontal1
2016,Tata Motors Ltd.,5.0,54.0,32.0,6.0,0.0352830608003535,657053.7,-3.6,71.0,34.73,327.0
2015,Tata Motors Ltd.,7.0,53.0,31.0,6.0,0.2012141232782596,624941.7,0.16,70.0,33.01,313.0
2014,Tata Motors Ltd.,7.0,52.0,30.0,6.0,0.0441723160558955,546764.3,-8.78,69.0,34.33,291.0
2013,Tata Motors Ltd.,7.0,45.0,30.0,6.0,-0.2319470667147587,541691.9,0.3,68.0,34.33,287.0
2012,Tata Motors Ltd.,7.0,45.0,27.0,6.0,-0.1693736705709694,540260.0,0.4,67.0,34.72,263.0
2011,Tata Motors Ltd.,7.0,34.0,26.0,6.0,0.1605578365478468,554327.9,2.25,66.0,35.04,225.0
2010,Tata Motors Ltd.,14.0,28.0,21.0,6.0,0.33695439977129,550111.1,3.41,65.0,34.93,175.0
2016,Mahindra & Mahindra Ltd.,5.0,28.0,22.0,9.0,0.0832262528417515,416293.4,10.06,71.0,26.77,152.0
2015,Reliance Industries Ltd.,14.0,29.0,26.0,11.0,-0.2628207761418252,4821120.0,6.23,42.0,46.66,144.0
2015,Mahindra & Mahindra Ltd.,12.0,31.0,19.0,9.0,0.068157475834627,365376.3,9.18,70.0,27.11,140.0
2016,Reliance Industries Ltd.,16.0,27.0,24.0,11.0,0.0549273406808601,5475520.0,6.12,43.0,46.48,136.0
2014,Reliance Industries Ltd.,15.0,38.0,25.0,11.0,-0.1507293758815057,3980640.0,5.94,41.0,45.25,130.0
2014,Mahindra & Mahindra Ltd.,12.0,31.0,18.0,9.0,-0.0576913176150933,333078.3,9.29,69.0,25.74,125.0
2012,Reliance Industries Ltd.,16.0,31.0,19.0,10.0,0.0921946367189339,3186110.0,6.91,39.0,45.34,121.0
2013,Mahindra & Mahindra Ltd.,12.0,26.0,14.0,9.0,-0.0067369764342881,316412.7,12.65,68.0,25.24,114.0
2013,Reliance Industries Ltd.,16.0,29.0,22.0,10.0,0.0813297082606927,3677440.0,6.43,40.0,45.31,105.0
2012,Mahindra & Mahindra Ltd.,12.0,18.0,12.0,9.0,0.2638995719714989,277643.9,12.86,67.0,25.3,102.0
2016,Maruti Suzuki India Ltd.,5.0,8.0,14.0,2.0,0.188884407815949,518794.0,15.86,35.0,56.21,99.0
2012,Indian Oil Corpn. Ltd.,17.0,23.0,18.0,9.0,-0.0482690683929074,1346.8,3.94,57.0,57.35,98.0
2015,Bosch Ltd.,7.0,44.0,19.0,8.0,-0.1957080412115001,131332.0,11.32,64.0,71.18,95.0
2016,Bosch Ltd.,7.0,52.0,16.0,8.0,0.0783940844852884,142178.0,10.45,65.0,70.49,95.0
2015,Maruti Suzuki India Ltd.,5.0,7.0,13.0,2.0,0.1830782258725403,425668.0,12.6,34.0,56.21,95.0
2013,Tata Steel Ltd.,13.0,63.0,22.0,5.0,0.099185443016821,1126224.3,5.98,106.0,31.35,90.0
2012,Maruti Suzuki India Ltd.,5.0,6.0,14.0,2.0,0.2452822998597645,339433.0,7.54,31.0,54.21,88.0
2014,Tata Steel Ltd.,13.0,78.0,23.0,5.0,0.007038937537221,1175549.8,4.53,107.0,31.35,86.0
2014,Maruti Suzuki India Ltd.,5.0,8.0,13.0,2.0,0.1255977845331386,426831.0,9.15,33.0,56.21,85.0
2011,Mahindra & Mahindra Ltd.,12.0,18.0,12.0,9.0,0.3449757891530081,240519.2,12.44,66.0,25.34,84.0
2015,Tata Steel Ltd.,13.0,81.0,23.0,5.0,-0.0791326937199338,1102867.8,0.97,108.0,31.35,84.0
2011,Reliance Industries Ltd.,13.0,31.0,16.0,10.0,0.3137084333716089,2952250.0,7.03,38.0,44.71,83.0
2012,Tata Steel Ltd.,14.0,54.0,22.0,5.0,0.1377255267519421,1034958.6,5.07,105.0,31.35,83.0
2014,Bosch Ltd.,7.0,36.0,19.0,8.0,0.3642227682921661,123785.0,11.49,63.0,71.18,81.0
2015,Indian Oil Corpn. Ltd.,11.0,11.0,17.0,9.0,-0.0289953716308195,1291.1,-4.56,60.0,57.35,81.0
2013,Bosch Ltd.,7.0,33.0,19.0,8.0,0.0129934228173518,107954.0,9.22,62.0,71.18,79.0
2016,Indian Oil Corpn. Ltd.,13.0,13.0,13.0,9.0,-0.211972522080471,1430.0,-2.79,61.0,57.35,79.0
2016,Tata Steel Ltd.,3.0,82.0,22.0,5.0,0.2474040598218534,1190915.6,3.14,109.0,31.35,78.0
2011,Indian Oil Corpn. Ltd.,18.0,24.0,15.0,9.0,0.2165725047080979,1230.8,7.97,56.0,57.35,76.0
2016,Ashok Leyland Ltd.,11.0,18.0,12.0,6.0,0.0676917895693181,150227.0,8.61,68.0,50.38,74.0
2014,Indian Oil Corpn. Ltd.,11.0,10.0,18.0,9.0,-0.0322750625741009,1215.6,-3.3,59.0,57.35,74.0
2015,Ashok Leyland Ltd.,9.0,17.0,12.0,6.0,0.3765841272921708,132061.2,4.85,67.0,50.38,73.0
