Prowess_company_code,Company,year,roa,tq,DebtToEquity,SalesGrowth,FirmAge,NumPlants,Num_of_supplier,Num_of_supp_countries,Num_of_product,Num_of_plant,Num_of customers,SCC1,SCC2,SCC3,SCC4,SCC5,SCC6
248093,Tata Motors Ltd.,2016,-3.6,6.03,0.92,0.0352830608003535,71.0,6.0,327,32,5,6,54,14,14,14,14,21,21
248093,Tata Motors Ltd.,2015,0.16,5.28,0.71,0.2012141232782596,70.0,6.0,313,31,7,6,53,14,14,14,14,22,23
248093,Tata Motors Ltd.,2014,-8.78,8.77,1.44,0.0441723160558955,69.0,6.0,291,30,7,6,52,14,15,14,15,23,23
248093,Tata Motors Ltd.,2013,0.3,5.07,0.8,-0.2319470667147587,68.0,6.0,287,30,7,6,45,14,14,14,14,23,23
248093,Tata Motors Ltd.,2012,0.4,4.22,0.89,-0.1693736705709694,67.0,6.0,263,27,7,6,45,14,15,14,15,23,23
136444,Mahindra & Mahindra Ltd.,2016,10.06,3.01,0.11,0.0832262528417515,71.0,9.0,152,22,5,9,28,14,14,14,14,22,22
196667,Reliance Industries Ltd.,2015,6.23,1.39,0.42,-0.2628207761418252,42.0,11.0,144,26,14,11,29,15,15,15,15,25,25
136444,Mahindra & Mahindra Ltd.,2015,9.18,3.61,0.13,0.068157475834627,70.0,9.0,140,19,12,9,31,15,15,15,15,25,25
196667,Reliance Industries Ltd.,2016,6.12,1.3,0.37,0.0549273406808601,43.0,11.0,136,24,16,11,27,15,15,15,15,25,25
196667,Reliance Industries Ltd.,2014,5.94,1.35,0.45,-0.1507293758815057,41.0,11.0,130,25,15,11,38,15,15,15,15,25,25
136444,Mahindra & Mahindra Ltd.,2014,9.29,3.92,0.19,-0.0576913176150933,69.0,9.0,125,18,12,9,31,15,15,15,15,25,25
196667,Reliance Industries Ltd.,2012,6.91,1.55,0.4,0.0921946367189339,39.0,10.0,121,19,16,10,31,15,15,15,15,25,25
136444,Mahindra & Mahindra Ltd.,2013,12.65,3.28,0.24,-0.0067369764342881,68.0,9.0,114,14,12,9,26,15,15,15,14,25,25
196667,Reliance Industries Ltd.,2013,6.43,1.48,0.46,0.0813297082606927,40.0,10.0,105,22,16,10,29,15,15,15,15,25,25
136444,Mahindra & Mahindra Ltd.,2012,12.86,3.92,0.24,0.2638995719714989,67.0,9.0,102,12,12,9,18,15,15,15,15,25,25
140829,Maruti Suzuki India Ltd.,2016,15.86,4.76,0.02,0.188884407815949,35.0,2.0,99,14,5,2,8,12,11,12,11,18,17
98680,Indian Oil Corpn. Ltd.,2012,3.94,0.63,0.17,-0.0482690683929074,57.0,9.0,98,18,17,9,23,15,15,15,15,25,25
149711,Bosch Ltd.,2015,11.32,6.99,0.01,-0.1957080412115001,64.0,8.0,95,19,7,8,44,14,14,14,14,23,24
149711,Bosch Ltd.,2016,10.45,7.45,0.0,0.0783940844852884,65.0,8.0,95,16,7,8,52,14,15,14,15,24,24
140829,Maruti Suzuki India Ltd.,2015,12.6,5.05,0.01,0.1830782258725403,34.0,2.0,95,13,5,2,7,10,10,10,10,18,17
248136,Tata Steel Ltd.,2013,5.98,0.69,0.44,0.099185443016821,106.0,5.0,90,22,13,5,63,15,15,15,15,24,24
140829,Maruti Suzuki India Ltd.,2012,7.54,2.63,0.08,0.2452822998597645,31.0,2.0,88,14,5,2,6,11,11,11,11,19,18
248136,Tata Steel Ltd.,2014,4.53,0.58,0.41,0.007038937537221,107.0,5.0,86,23,13,5,78,15,15,15,15,24,24
140829,Maruti Suzuki India Ltd.,2014,9.15,4.3,0.02,0.1255977845331386,33.0,2.0,85,13,5,2,8,12,11,12,11,19,19
248136,Tata Steel Ltd.,2015,0.97,0.38,0.67,-0.0791326937199338,108.0,5.0,84,23,13,5,81,15,15,15,15,24,24
248136,Tata Steel Ltd.,2012,5.07,0.74,0.48,0.1377255267519421,105.0,5.0,83,22,14,5,54,15,15,15,15,24,24
149711,Bosch Ltd.,2014,11.49,8.32,0.02,0.3642227682921661,63.0,8.0,81,19,7,8,36,14,15,14,15,24,24
98680,Indian Oil Corpn. Ltd.,2015,-4.56,1.16,0.08,-0.0289953716308195,60.0,9.0,81,17,11,9,11,15,15,15,15,24,24
149711,Bosch Ltd.,2013,9.22,5.03,0.03,0.0129934228173518,62.0,8.0,79,19,7,8,33,14,14,14,14,24,24
98680,Indian Oil Corpn. Ltd.,2016,-2.79,0.87,0.1,-0.211972522080471,61.0,9.0,79,13,13,9,13,15,15,15,15,24,24
248136,Tata Steel Ltd.,2016,3.14,0.8,0.59,0.2474040598218534,109.0,5.0,78,22,3,5,82,13,13,13,13,20,20
22104,Ashok Leyland Ltd.,2016,8.61,3.8,0.35,0.0676917895693181,68.0,6.0,74,12,11,6,18,15,15,15,15,24,23
98680,Indian Oil Corpn. Ltd.,2014,-3.3,0.59,0.15,-0.0322750625741009,59.0,9.0,74,18,11,9,10,15,15,15,15,24,24
22104,Ashok Leyland Ltd.,2015,4.85,5.41,0.45,0.3765841272921708,67.0,6.0,73,12,9,6,17,15,15,15,15,23,22
98680,Indian Oil Corpn. Ltd.,2013,1.26,0.44,0.15,0.1224308738725419,58.0,9.0,73,17,18,9,11,15,15,15,15,24,24
33873,Bharat Petroleum Corpn. Ltd.,2012,4.0,2.02,1.44,0.1265111484933043,60.0,4.0,71,13,2,4,11,12,12,12,12,19,20
245935,T D Power Systems Ltd.,2012,4.6,1.62,0.06,-0.3075696966910356,13.0,1.0,71,10,7,1,19,12,12,12,12,20,20
245935,T D Power Systems Ltd.,2013,4.79,1.61,0.12,-0.1509772239314725,14.0,1.0,71,10,5,1,20,12,12,12,12,19,19
149711,Bosch Ltd.,2012,11.95,5.34,0.04,0.0730025328114207,61.0,7.0,70,17,7,7,30,14,15,14,15,24,24
245935,T D Power Systems Ltd.,2014,1.76,3.04,0.12,0.1142134626414306,15.0,1.0,70,10,5,1,20,12,12,12,12,19,18
245935,T D Power Systems Ltd.,2015,1.93,2.04,0.06,0.1541215283464752,16.0,1.0,70,10,5,1,19,11,12,11,12,18,18
245935,T D Power Systems Ltd.,2016,0.05,1.14,0.09,-0.1894132911649029,17.0,1.0,70,10,5,1,19,12,12,12,12,18,18
140829,Maruti Suzuki India Ltd.,2013,7.39,2.59,0.09,-0.004753423791192,32.0,2.0,67,12,5,2,5,11,11,11,11,18,18
22104,Ashok Leyland Ltd.,2013,-1.44,1.62,1.44,-0.2172120980959249,65.0,6.0,66,10,8,6,14,15,15,15,15,23,22
22104,Ashok Leyland Ltd.,2012,3.83,2.25,1.39,-0.0174994945905339,64.0,6.0,64,10,8,6,11,15,15,15,15,22,22
33769,Bharat Heavy Electricals Ltd.,2012,6.3,1.94,0.05,0.0140630873009381,48.0,8.0,63,9,54,8,61,15,15,13,13,25,25
33769,Bharat Heavy Electricals Ltd.,2014,-0.27,1.93,0.0,-0.2292060575519557,50.0,8.0,62,10,54,8,66,15,15,13,13,25,25
22104,Ashok Leyland Ltd.,2014,-0.27,3.61,0.82,0.359202110949405,66.0,6.0,61,10,8,6,14,15,15,15,15,23,22
33769,Bharat Heavy Electricals Ltd.,2013,2.59,1.35,0.08,-0.1943686761905416,49.0,8.0,61,9,53,8,66,15,15,13,13,25,25
33769,Bharat Heavy Electricals Ltd.,2015,-3.26,1.26,0.01,-0.1543213738605511,51.0,8.0,60,9,57,8,73,15,15,13,14,25,25
33873,Bharat Petroleum Corpn. Ltd.,2014,6.0,2.15,0.59,-0.0656588495018719,62.0,4.0,58,11,2,4,9,12,12,12,12,19,19
33873,Bharat Petroleum Corpn. Ltd.,2015,9.58,2.36,0.58,-0.1459343366599165,63.0,4.0,58,8,2,4,9,12,12,12,12,19,19
33769,Bharat Heavy Electricals Ltd.,2016,-4.48,0.92,0.0,0.0872870060968293,52.0,8.0,55,10,54,8,82,15,15,13,13,25,25
33873,Bharat Petroleum Corpn. Ltd.,2013,5.46,1.51,1.05,0.0813988040499302,61.0,4.0,55,11,2,4,11,12,12,12,12,19,20
388233,P G Electroplast Ltd.,2012,-1.62,4.15,0.65,0.384995913451198,9.0,3.0,50,5,26,3,6,13,14,13,14,22,22
388233,P G Electroplast Ltd.,2013,-6.62,2.87,0.72,-0.2551790539491256,10.0,3.0,50,5,29,3,6,13,13,13,13,22,22
388233,P G Electroplast Ltd.,2014,-1.54,1.11,0.77,0.0952003669571746,11.0,3.0,50,5,17,3,15,14,14,14,14,23,23
